,property_type,area_m2,price_usd,lat,lon,state
197,apartment,180,237145.4,20.705671,-103.396278,Jalisco
198,house,354,266975.89,16.8583631,-99.8508616,Guerrero
199,apartment,76,84298.37,19.10059416,-96.10706136,Veracruz de Ignacio de la Llave
200,apartment,75,105397.95,19.479437,-99.236561,Estado de México
201,house,240,183348.96,18.981213,-99.206345,Morelos
202,house,172,86953.31,20.624242,-100.390194,Querétaro
203,apartment,113,153686.47,19.508253,-99.254997,Estado de México
204,house,155,52159.61,19.533955,-99.228287,Estado de México
205,apartment,82,154987.69,19.394073,-99.153915,Distrito Federal
206,house,110,84298.37,18.878128,-99.187238,Morelos
207,apartment,63,113302.8,20.58626877,-100.378679,Querétaro
208,house,60,34773.07,18.961286,-99.212621,Morelos
209,house,254,147557.13,20.628052,-100.404541,Querétaro
210,house,264,172852.64,18.660893,-91.7663706,Campeche
211,house,192,126477.54,19.0652948,-96.069905,Veracruz de Ignacio de la Llave
212,house,72,35988.5,22.285725,-97.843597,Tamaulipas
213,apartment,70,107322.36,19.305984,-99.127341,Distrito Federal
214,house,197,49999.47,19.361792,-99.190096,Distrito Federal
215,house,105,50517.24,22.18776263,-100.9627676,San Luis Potosí
216,apartment,105,93856.88,20.726007,-100.442642,Querétaro
217,apartment,70,41095.45,19.417636,-99.153292,Distrito Federal
218,house,140,42623.36,19.570101,-96.918228,Veracruz de Ignacio de la Llave
219,house,97,50052.15,18.885313,-99.062879,Morelos
220,apartment,129,92750.2,22.148722,-101.00119,San Luis Potosí
221,house,73,37670.83,18.985688,-98.230121,Puebla
222,apartment,100,313695.32,19.427053,-99.256293,Estado de México
223,apartment,68,49051.11,19.446256,-99.147767,Distrito Federal
224,house,220,165172.12,21.4581695,-104.8877876,Nayarit
225,apartment,70,121178.91,19.333974,-99.240363,Distrito Federal
226,apartment,155,226551.88,19.379597,-99.293808,Estado de México
227,house,354,208111.61,22.139618,-101.032422,San Luis Potosí
228,house,80,127880.63,19.552184,-99.251489,Estado de México
229,apartment,80,44794.13,20.5365909,-100.4411011,Querétaro
230,apartment,133,59426.13,19.445032,-99.140207,Distrito Federal
231,house,192,125920.69,19.54235,-99.19195,Estado de México
232,apartment,80,91411.04,19.377404,-99.193301,Distrito Federal
233,apartment,185,157917.19,16.858816,-99.857628,Guerrero
234,house,211,81137.18,23.231522,-106.382439,Sinaloa
235,house,250,105397.95,21.006756,-89.570984,Yucatán
236,apartment,145,81664.04,16.850374,-99.850166,Guerrero
237,house,180,110667.85,18.141083,-94.458733,Veracruz de Ignacio de la Llave
238,house,299,231820.52,18.989918,-98.2295,Puebla
239,house,140,47417.83,25.540674,-103.393252,Veracruz de Ignacio de la Llave
240,house,240,138058.14,21.039522,-89.563911,Yucatán
241,apartment,102,187081.37,19.336697,-99.152534,Distrito Federal
242,house,187,134350.53,20.697427,-100.444385,Querétaro
243,apartment,70,66911.83,19.451872,-99.173522,Distrito Federal
244,house,239,132769.93,19.262129,-99.602481,Estado de México
245,apartment,72,40645.77,19.2790911,-99.2114234,Distrito Federal
246,house,84,65858.1,20.647398,-105.209682,Jalisco
